project,rus_pre,ros_pre,smote_pre,rus_rec,ros_rec,smote_rec,exp_on,exp_type
ambari,0.3049,0.3165,0.3084,0.3975,0.3955,0.5746,sur,NBM
camel,0.3482,0.3532,0.3901,0.3205,0.3165,0.6135,sur,NBM
derby,0.119,0.1255,0.1316,0.4347,0.3638,0.363,sur,NBM
wicket,0.3568,0.3478,0.3729,0.3591,0.2894,0.5256,sur,NBM
average,0.282225,0.28575,0.30075,0.37795,0.3413,0.519175,sur,NBM
derby,0.1128,0.1159,0.1053,0.3293,0.2874,0.5016,sec,NBM
ambari,0.0447,0.0304,0.0369,0.7378,0.3883,0.3883,per,NBM
camel,0.1039,0.0969,0.1027,0.5333,0.38,0.3956,per,NBM
derby,0.1122,0.1211,0.1325,0.73,0.4495,0.4488,per,NBM
wicket,0.0868,0.1033,0.1052,0.7816,0.5327,0.4506,per,NBM
aaa,aaa,aaa,aaa,aaa,aaa,aaa,aaa,aaa
ambari,0.3063,0.2856,0.283,0.3775,0.3235,0.4831,sur,NBM
camel,0.4003,0.3776,0.3829,0.3764,0.3128,0.5757,sur,NBM
wicket,0.3978,0.3943,0.3933,0.2974,0.3087,0.5482,sur,NBM
